전/월세,보증금,월세,공급면적,전용면적,층,남향
0,12000,64,31,25,5,0
1,36000,0,40,27,5,0
0,12000,64,31,25,5,0
0,12000,10,50,12,5,0
1,40000,0,52,28,5,0
1,37500,0,137,29,5,0
1,19000,0,33,33,3,0
1,30000,0,36,36,4,0
1,39000,0,47,29,5,0
0,1000,50,56,39,3,0
1,35000,0,32,25,5,1
1,19950,0,49,27,5,1
1,16500,0,23,19,5,0
1,28000,0,22,18,6,0
1,20000,0,23,16,6,0
1,32000,0,37,29,6,0
0,4000,20,25,25,2,0
1,36000,0,46,27,5,0
1,28000,0,22,18,5,1
1,43000,0,38,31,5,0
1,42000,0,34,28,5,0
1,36500,0,35,29,5,0
1,39000,0,35,29,5,0
1,39000,0,35,29,5,0
1,41000,0,34,29,5,0
1,36500,0,35,29,5,0
1,17700,0,35,35,2,1
1,32000,0,31,25,6,0
1,28000,0,22,18,5,1
1,42000,0,34,29,5,1
1,32000,0,22,18,5,1
0,15000,40,33,33,3,0
0,12000,64,31,25,5,0
1,28000,0,36,29,4,0
1,43000,0,35,29,5,0
1,42000,0,33,28,5,1
0,15000,40,33,33,3,0
0,15000,40,35,33,3,0
1,30000,0,33,27,5,1
0,13000,20,85,42,4,0
1,43000,0,36,28,5,0
1,36500,0,35,29,5,0
1,37500,0,45,29,5,0
0,1000,85,15,15,4,0
1,36500,0,45,29,5,0
1,15500,0,20,15,5,0
1,36500,0,35,29,5,0
1,20000,0,41,41,3,0
1,42000,0,46,29,6,0
1,8000,0,40,40,3,1
0,1000,50,33,33,2,1
1,23000,0,32,29,5,0
1,28000,0,36,36,4,0
0,18000,50,36,33,4,1
1,17000,0,41,30,2,0
1,42000,0,34,29,5,0
0,12000,10,18,12,4,0
1,19950,0,31,27,5,1
1,42000,0,34,29,5,0
0,2000,70,50,22,6,0
1,32000,0,32,25,6,0
1,20000,0,33,33,3,0
1,37000,0,35,29,5,0
1,43000,0,35,27,5,0
1,25000,0,33,29,5,0
0,12000,10,18,12,5,0
1,32000,0,42,25,6,0
1,8000,0,52,39,3,1
0,1000,85,33,26,4,1
1,39000,0,40,29,5,0
1,13000,0,85,42,4,0
1,25000,0,41,37,4,0
1,17700,0,35,35,2,1
1,43000,0,40,29,5,0
1,43000,0,33,29,5,0
0,15000,50,15,12,5,0
0,1000,80,28,28,5,1
1,15500,0,20,15,5,0
1,37500,0,46,29,5,0
1,39000,0,43,27,6,0
1,37000,0,35,29,5,0
1,36500,0,46,29,5,0
1,36500,0,46,29,5,0
1,42000,0,37,29,6,0
1,8000,0,29,25,2,0
1,37000,0,43,29,5,0
0,7000,30,33,33,3,0
1,35000,0,33,27,5,1
1,23000,0,55,50,3,0
1,32000,0,37,25,6,0
1,37000,0,46,29,5,0
1,36000,0,35,29,5,0
1,43000,0,42,39,5,0
1,32000,0,32,25,6,0
1,37500,0,49,29,5,0
1,42000,0,43,29,6,0
1,27000,0,22,18,5,1
1,21000,0,35,30,5,0
1,28000,0,31,22,6,0
0,2000,100,35,30,4,0
1,22000,0,39,32,5,0
1,42000,0,34,29,5,0
1,36500,0,35,29,5,0
1,28000,0,33,18,5,0
0,12000,64,31,25,5,0
